millis,ldr_voltage,temp,hum,tvoc,eco2,prob0,prob1,prob2,AI_latency_us
339590,0.00,22.70,49.80,60.00,450.00,43,30,27,804
340590,0.00,22.70,49.80,60.00,450.00,43,30,27,816
341598,0.00,22.70,49.80,60.00,450.00,43,30,27,828
342598,0.00,22.70,49.80,60.00,450.00,43,30,27,817
343606,0.00,22.70,49.70,60.00,450.00,43,30,27,831
344606,0.00,22.70,49.70,60.00,450.00,43,30,27,808
345614,0.00,22.70,49.70,60.00,450.00,43,30,27,834
346615,0.00,22.70,49.70,60.00,450.00,43,30,27,834
347622,0.00,22.70,49.80,60.00,450.00,43,30,27,807
348623,0.00,22.70,49.80,60.00,450.00,43,30,27,835
349630,0.00,22.70,49.70,60.00,450.00,43,30,27,830
350630,0.00,22.70,49.70,60.00,450.00,43,30,27,791
351638,0.00,22.70,49.80,60.00,450.00,43,30,27,806
352638,0.00,22.70,49.80,60.00,450.00,43,30,27,781
353645,0.00,22.70,49.70,60.00,450.00,43,30,27,792
354646,0.00,22.70,49.70,60.00,450.00,43,30,27,812
355654,0.00,22.70,49.80,60.00,450.00,43,30,27,831
356654,0.00,22.70,49.80,60.00,450.00,43,30,27,813
357662,0.00,22.70,49.70,60.00,450.00,43,30,27,818
358662,0.00,22.70,49.70,60.00,450.00,43,30,27,802
359670,0.00,22.70,49.80,60.00,450.00,43,30,27,807
360670,0.00,22.70,49.80,60.00,450.00,43,30,27,826
361677,0.00,22.60,49.70,60.00,450.00,43,30,27,823
362678,0.00,22.60,49.70,60.00,450.00,43,30,27,815
363685,0.00,22.60,49.80,60.00,450.00,43,30,27,811
364686,0.00,22.60,49.80,60.00,450.00,43,30,27,819
365693,0.00,22.60,49.70,60.00,450.00,43,30,27,822
366694,0.00,22.60,49.70,60.00,450.00,43,30,27,822
367701,0.00,22.60,49.70,60.00,450.00,43,30,27,826
368703,0.00,22.60,49.70,60.00,450.00,43,30,27,829
369709,0.00,22.60,49.70,60.00,450.00,43,30,27,817
370710,0.00,22.60,49.70,60.00,450.00,43,30,27,808
371718,0.00,22.70,49.70,60.00,450.00,43,30,27,804
372718,0.00,22.70,49.70,60.00,450.00,43,30,27,785
373726,0.00,22.70,49.70,60.00,450.00,43,30,27,796
374726,0.00,22.70,49.70,60.00,450.00,43,30,27,826
375733,0.00,22.60,49.80,60.00,450.00,43,30,27,831
376734,0.00,22.60,49.80,60.00,450.00,43,30,27,798
377741,0.00,22.60,49.70,60.00,450.00,43,30,27,803
378742,0.00,22.60,49.70,60.00,450.00,43,30,27,822
379749,0.00,22.60,49.80,60.00,450.00,43,30,27,828
380750,0.00,22.60,49.80,60.00,450.00,43,30,27,817
381757,0.00,22.60,49.80,60.00,450.00,43,30,27,803
382758,0.00,22.60,49.80,60.00,450.00,43,30,27,815
383765,0.00,22.60,49.80,60.00,450.00,43,30,27,837
384766,0.00,22.60,49.80,60.00,450.00,43,30,27,823
385773,0.00,22.60,49.80,60.00,450.00,43,30,27,801
386774,0.00,22.60,49.80,60.00,450.00,43,30,27,815
387781,0.00,22.60,49.80,60.00,450.00,43,30,27,833
388782,0.00,22.60,49.80,60.00,450.00,43,30,27,825
389789,0.00,22.60,49.80,60.00,450.00,43,30,27,818
